data,modelo,tempo_execucao_segundos
2025-11-12 20:44:22,NeuralNet,376.78
2025-11-12 16:24:22,KNN,217.72
2025-11-12 21:59:22,XGBoost,34.47
2025-11-12 21:36:22,KNN,118.79
2025-11-12 22:50:22,XGBoost,382.13
2025-11-12 19:22:22,SVM,594.87
2025-11-12 20:21:22,RandomForest,71.63
2025-11-12 23:41:22,SVM,211.75
2025-11-12 17:37:22,KNN,424.52
2025-11-12 16:04:22,XGBoost,369.14
2025-11-12 22:30:22,XGBoost,297.7
2025-11-12 18:26:22,RandomForest,596.55
2025-11-12 16:28:22,XGBoost,574.52
2025-11-12 16:28:22,NeuralNet,182.95
2025-11-12 19:45:22,KNN,396.73
